id,codigo,ex,tipo,descricao,nacional_federal,importados_federal,estadual,municipal,vigencia_inicio,vigencia_fim,chave,versao,fonte,estado
48456,02043000,,0,"Carcacas e meias-carcacas,de cordeiro, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48457,02044100,,0,"Carcacas e meias-carcacas,de ovino, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48458,02044200,,0,"Outras carnes de ovino,nao desossadas, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48459,02044300,,0,"Carnes de ovino,desossadas,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48460,02045000,,0,"Carnes de caprino,frescas,refrigeradas ou congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48461,02050000,,0,"Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48462,02061000,,0,"Miudezas comestiveis,de bovino,frescas ou refrigeradas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48463,02062100,,0,"Linguas de bovino,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48464,02062200,,0,"Figados de bovino,congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48465,02062910,,0,"Rabos de bovino,congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48466,02062990,,0,"Outras miudezas comestiveis,de bovino, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48467,02063000,,0,"Miudezas comestiveis,de suino,frescas ou refrigeradas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48468,02064100,,0,"Figados de suino,congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48469,02064900,,0,"Outras miudezas,comestiveis,de suino, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48470,02068000,,0,"Miudezas comestiveis,de ovino,etc. frescas/refrigeradas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48471,02069000,,0,"Miudezas comestiveis,de ovino,caprino, etc.congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48472,02071100,,0,"Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48473,02071210,,0,Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 com miudezas,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48474,02071220,,0,Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 Sem miudezas,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48475,02071300,,0,"Pedacos e miudezas,de galos/galinhas, frescos/refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48476,02071400,,0,"Pedacos e miudezas,comest.de galos/galinhas, congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48477,02072400,,0,"Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48478,02072500,,0,"Carnes de peruas/perus,n/cortadas em pedacos,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48479,02072600,,0,"Carnes de peruas/perus,em pedacos,miudez. frescos/refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48480,02072700,,0,"Carnes de peruas/perus,em pedacos e miudezas,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
