2024-06-01 10:04:35 - scheduler.py - main - thread_zap_automato.py - {'process': <Popen: returncode: None args: ['python', 'thread_zap_automato.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 34, 86979), 'interval': 3600}
2024-06-01 10:04:35 - scheduler.py - main - thread_IBPT_NCM_CEST.py - {'process': <Popen: returncode: None args: ['python', 'thread_IBPT_NCM_CEST.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 34, 130080), 'interval': 3600}
2024-06-01 10:04:36 - scheduler.py - main - servico.py - {'process': <Popen: returncode: None args: ['python', 'servico.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 4, 45, 159847), 'interval': 10}
2024-06-01 10:04:36 - scheduler.py - main - maxupdate.py - {'process': <Popen: returncode: None args: ['python', 'maxupdate.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 35, 165864), 'interval': 3600}
2024-06-01 10:04:36 - scheduler.py - main - thread_verifica_remoto.py - {'process': <Popen: returncode: None args: ['python', 'thread_verifica_remoto.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 9, 35, 172891), 'interval': 300}
2024-06-01 10:04:36 - scheduler.py - main - thread_backup_local.py - {'process': <Popen: returncode: None args: ['python', 'thread_backup_local.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 14, 35, 187895), 'interval': 600}
2024-06-01 10:04:36 - scheduler.py - main - thread_servidor_socket.py - {'process': <Popen: returncode: None args: ['python', 'thread_servidor_socket.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 35, 240044), 'interval': 3600}
2024-06-01 10:04:36 - scheduler.py - main - thread_xml_contador.py - {'process': <Popen: returncode: None args: ['python', 'thread_xml_contador.py']>, 'next_run': datetime.datetime(2024, 6, 1, 10, 34, 35, 245049), 'interval': 1800}
2024-06-01 10:04:36 - scheduler.py - main - thread_atualiza_banco.py - {'process': <Popen: returncode: None args: ['python', 'thread_atualiza_banco.py']>, 'next_run': datetime.datetime(2024, 6, 1, 12, 4, 35, 263114), 'interval': 7200}
2024-06-01 10:04:36 - scheduler.py - main - thread_zap_automato.py - {'process': <Popen: returncode: None args: ['python', 'thread_zap_automato.py']>, 'next_run': datetime.datetime(2024, 6, 1, 11, 4, 35, 293329), 'interval': 3600}
